starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:43:35 2015	1422164615	77	4289	4366	4032
Sat Jan 24 23:43:48 2015	1422164628	1	4369	4369	4169
Sat Jan 24 23:43:41 2015	1422164621	0	4375	4375	4310
Sat Jan 24 23:43:39 2015	1422164619	0	4380	4380	4254
Sat Jan 24 23:43:51 2015	1422164631	0	4385	4385	3968
Sat Jan 24 23:43:40 2015	1422164620	0	4392	4392	4280
Sat Jan 24 23:43:58 2015	1422164638	0	4394	4394	4101
Sat Jan 24 23:43:35 2015	1422164615	77	4323	4401	3921
Sat Jan 24 23:43:44 2015	1422164624	0	4412	4412	4362
Sat Jan 24 23:43:49 2015	1422164629	0	4416	4416	4388
Sat Jan 24 23:43:35 2015	1422164615	1112	3316	4428	3118
Sat Jan 24 23:43:58 2015	1422164638	0	4437	4437	4346
Sat Jan 24 23:43:46 2015	1422164626	0	4446	4446	4421
Sat Jan 24 23:43:43 2015	1422164623	0	4447	4447	4217
Sat Jan 24 23:43:35 2015	1422164615	77	4392	4469	4345
Sat Jan 24 23:43:35 2015	1422164615	3	4467	4470	4258
Sat Jan 24 23:43:48 2015	1422164628	0	4473	4473	4433
Sat Jan 24 23:43:48 2015	1422164628	0	4476	4476	4178
Sat Jan 24 23:43:35 2015	1422164615	78	4409	4487	4136
Sat Jan 24 23:43:43 2015	1422164623	0	4487	4487	3863
Sat Jan 24 23:43:39 2015	1422164619	0	4497	4497	4317
Sat Jan 24 23:43:41 2015	1422164621	0	4500	4500	4449
Sat Jan 24 23:43:55 2015	1422164635	0	4514	4514	4477
Sat Jan 24 23:43:38 2015	1422164618	0	4514	4515	4245
Sat Jan 24 23:43:42 2015	1422164622	0	4520	4520	3880
Sat Jan 24 23:43:35 2015	1422164615	78	4444	4522	4166
Sat Jan 24 23:43:45 2015	1422164625	0	4524	4524	4392
Sat Jan 24 23:43:45 2015	1422164625	0	4527	4528	4229
Sat Jan 24 23:43:54 2015	1422164634	0	4529	4529	4183
Sat Jan 24 23:43:59 2015	1422164639	0	4535	4535	4307
Sat Jan 24 23:43:58 2015	1422164638	0	4537	4537	4458
