starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:43:35 2015	1422164615	78	3105	3182	3082
Sat Jan 24 23:43:54 2015	1422164634	0	3184	3184	2987
Sat Jan 24 23:43:35 2015	1422164615	78	3108	3186	3086
Sat Jan 24 23:43:51 2015	1422164631	2	3184	3186	3071
Sat Jan 24 23:43:40 2015	1422164620	0	3190	3191	2998
Sat Jan 24 23:43:47 2015	1422164627	0	3191	3191	3077
Sat Jan 24 23:43:46 2015	1422164626	0	3191	3191	3021
Sat Jan 24 23:43:47 2015	1422164627	0	3192	3192	2718
Sat Jan 24 23:43:50 2015	1422164630	0	3193	3193	2656
Sat Jan 24 23:43:58 2015	1422164638	0	3194	3194	3129
Sat Jan 24 23:43:58 2015	1422164638	0	3197	3197	3064
Sat Jan 24 23:43:39 2015	1422164619	0	3198	3198	3078
Sat Jan 24 23:43:54 2015	1422164634	0	3208	3208	3172
Sat Jan 24 23:43:59 2015	1422164639	0	3212	3212	3211
Sat Jan 24 23:43:38 2015	1422164618	0	3216	3216	2903
Sat Jan 24 23:43:39 2015	1422164619	0	3217	3217	3143
Sat Jan 24 23:43:35 2015	1422164615	77	3141	3218	3082
Sat Jan 24 23:44:00 2015	1422164640	0	3220	3220	3119
Sat Jan 24 23:43:50 2015	1422164630	0	3220	3221	3177
Sat Jan 24 23:44:02 2015	1422164642	0	3222	3222	3218
Sat Jan 24 23:43:40 2015	1422164620	20	3202	3223	3197
Sat Jan 24 23:43:43 2015	1422164623	0	3227	3227	3096
Sat Jan 24 23:43:41 2015	1422164621	0	3230	3230	3059
Sat Jan 24 23:43:55 2015	1422164635	1	3230	3230	3186
Sat Jan 24 23:43:37 2015	1422164617	0	3232	3232	3165
Sat Jan 24 23:43:48 2015	1422164628	0	3235	3235	3177
Sat Jan 24 23:43:41 2015	1422164621	1	3237	3238	3007
Sat Jan 24 23:43:44 2015	1422164624	0	3239	3239	2895
Sat Jan 24 23:43:47 2015	1422164627	0	3241	3241	3174
Sat Jan 24 23:43:42 2015	1422164622	0	3242	3242	3232
Sat Jan 24 23:43:55 2015	1422164635	0	3243	3243	3108
Sat Jan 24 23:43:45 2015	1422164625	0	3246	3246	3239
Sat Jan 24 23:43:53 2015	1422164633	0	3248	3248	3134
Sat Jan 24 23:43:47 2015	1422164627	0	3248	3248	3115
Sat Jan 24 23:43:50 2015	1422164630	0	3250	3250	3171
Sat Jan 24 23:43:52 2015	1422164632	0	3252	3253	3139
Sat Jan 24 23:43:35 2015	1422164615	77	3175	3253	3101
Sat Jan 24 23:43:35 2015	1422164615	4	3250	3254	3181
Sat Jan 24 23:43:47 2015	1422164627	0	3257	3258	3210
Sat Jan 24 23:43:42 2015	1422164622	22	3236	3259	3105
Sat Jan 24 23:44:01 2015	1422164641	0	3260	3260	3237
Sat Jan 24 23:43:43 2015	1422164623	0	3260	3260	3107
Sat Jan 24 23:43:45 2015	1422164625	0	3266	3266	3029
Sat Jan 24 23:43:48 2015	1422164628	0	3270	3271	3152
Sat Jan 24 23:44:00 2015	1422164640	0	3272	3273	3210
Sat Jan 24 23:43:54 2015	1422164634	0	3275	3275	3039
Sat Jan 24 23:43:48 2015	1422164628	0	3276	3276	3236
Sat Jan 24 23:43:55 2015	1422164635	0	3279	3279	3278
Sat Jan 24 23:43:35 2015	1422164615	78	3202	3279	3194
Sat Jan 24 23:43:41 2015	1422164621	0	3284	3284	3197
Sat Jan 24 23:43:37 2015	1422164617	0	3286	3286	3277
Sat Jan 24 23:44:00 2015	1422164640	0	3286	3286	3228
Sat Jan 24 23:43:44 2015	1422164624	0	3287	3287	3170
Sat Jan 24 23:43:39 2015	1422164619	0	3290	3291	3211
Sat Jan 24 23:43:44 2015	1422164624	0	3293	3294	3207
Sat Jan 24 23:43:40 2015	1422164620	0	3303	3303	2992
Sat Jan 24 23:43:51 2015	1422164631	0	3303	3303	3128
Sat Jan 24 23:43:35 2015	1422164615	3	3301	3304	3164
Sat Jan 24 23:43:46 2015	1422164626	0	3307	3307	3218
Sat Jan 24 23:43:46 2015	1422164626	0	3307	3308	3255
Sat Jan 24 23:43:56 2015	1422164636	0	3310	3310	3219
Sat Jan 24 23:43:38 2015	1422164618	0	3312	3313	3211
Sat Jan 24 23:44:02 2015	1422164642	0	3314	3315	3302
Sat Jan 24 23:43:35 2015	1422164615	77	3238	3316	3218
Sat Jan 24 23:43:35 2015	1422164615	3	3313	3316	3159
Sat Jan 24 23:43:47 2015	1422164627	0	3316	3316	3245
